GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37119006410,37,119,6410,0.539130609,-0.110642561,113.4782652,97.23393597
37119006411,37,119,6411,0.461884493,-0.019550785,111.5471123,99.51123037
37125950303,37,125,950303,-3.445814981,-0.493857787,13.85462547,87.65355533
37125950506,37,125,950506,-2.441272091,-0.799802849,38.96819773,80.00492877
37125950601,37,125,950601,-1.806143749,0.023276887,54.84640629,100.5819222
37125950702,37,125,950702,-1.028098139,0.978082065,74.29754652,124.4520516
37125950703,37,125,950703,-1.471337911,0.202611819,63.21655222,105.0652955
37125950704,37,125,950704,-1.057627679,0.76349372,73.55930802,119.087343
37125950801,37,125,950801,-0.621300047,1.218700687,84.46749882,130.4675172
37125950802,37,125,950802,-1.145464651,0.335931318,71.36338372,108.398283
37125950900,37,125,950900,0.14667012,1.691257308,103.666753,142.2814327
37125951102,37,125,951102,-0.342741141,1.107419996,91.43147148,127.6854999
37127010301,37,127,10301,0.367787085,1.271920552,109.1946771,131.7980138
37127010400,37,127,10400,0.679216329,1.334627843,116.9804082,133.3656961
37127010505,37,127,10505,0.497413403,1.148019908,112.4353351,128.7004977
37127010506,37,127,10506,0.316283228,0.937903804,107.9070807,123.4475951
37127010601,37,127,10601,-0.132463838,1.039483522,96.68840406,125.987088
37127010604,37,127,10604,0.355432173,1.175913951,108.8858043,129.3978488
37127011103,37,127,11103,-0.766236909,0.374322264,80.84407728,109.3580566
37129010100,37,129,10100,0.138049124,1.981542779,103.4512281,149.5385695
37129010200,37,129,10200,0.202212415,2.116291449,105.0553104,152.9072862
37129010300,37,129,10300,-0.211495636,2.034577266,94.71260909,150.8644317
37129010400,37,129,10400,-0.081810571,2.058071389,97.95473573,151.4517847
37129010501,37,129,10501,-0.268937531,2.08469116,93.27656172,152.117279
37129010503,37,129,10503,-0.148342293,2.34652004,96.29144268,158.663001
37129010504,37,129,10504,-0.449011227,1.607745677,88.77471933,140.1936419
37129010600,37,129,10600,-0.127063638,2.496592989,96.82340905,162.4148247
37129010700,37,129,10700,0.003608512,1.891772938,100.0902128,147.2943235
37129010800,37,129,10800,-0.448263637,1.583685472,88.79340908,139.5921368
37129010900,37,129,10900,-0.129689295,1.917387706,96.75776762,147.9346926
37129011000,37,129,11000,0.091469614,1.981161533,102.2867404,149.5290383
37129011100,37,129,11100,0.078166039,1.903862247,101.954151,147.5965562
37129011200,37,129,11200,0.320037505,2.466567094,108.0009376,161.6641774
37129011300,37,129,11300,-0.068646635,1.981458077,98.28383411,149.5364519
37129011400,37,129,11400,-0.235344534,1.920092323,94.11638665,148.0023081
37129011501,37,129,11501,-0.220655149,2.153219017,94.48362127,153.8304754
37129011502,37,129,11502,-0.642018151,1.956790978,83.94954622,148.9197745
37129011605,37,129,11605,-0.461761566,1.705873821,88.45596084,142.6468455
37129011606,37,129,11606,-0.460841815,1.954627658,88.47895463,148.8656915
37129011611,37,129,11611,-0.904057582,1.200674854,77.39856046,130.0168714
37129011701,37,129,11701,-0.284428305,1.850772245,92.88929238,146.2693061
37129011703,37,129,11703,-1.147751817,1.559706058,71.30620457,138.9926514
37129011705,37,129,11705,-1.481755802,1.01989063,62.95610494,125.4972658
37129011904,37,129,11904,-0.59230707,2.195042205,85.19232325,154.8760551
37129011905,37,129,11905,-0.340975717,1.998726475,91.47560708,149.9681619
37129011906,37,129,11906,-0.424578277,1.91587818,89.38554308,147.8969545
37129012004,37,129,12004,-1.06681452,1.376102083,73.329637,134.4025521
37129012006,37,129,12006,-0.29060078,1.980680211,92.7349805,149.5170053
37129012007,37,129,12007,-0.323587649,2.022410444,91.91030878,150.5602611
37129012008,37,129,12008,-0.316233858,1.824103631,92.09415356,145.6025908
37129012009,37,129,12009,-0.631355488,1.443941167,84.2161128,136.0985292
